iter	Passed	Remaining
0	1	1125
1	2	1024
2	2	970
3	3	914
4	4	906
5	5	892
6	6	871
7	6	861
8	7	850
9	8	838
10	9	846
11	10	840
12	10	831
13	11	836
14	12	837
15	13	837
16	14	834
17	15	830
18	16	826
19	16	822
20	17	819
21	18	818
22	19	814
23	20	813
24	20	809
25	21	805
26	22	804
27	23	804
28	24	806
29	24	803
30	25	801
31	26	799
32	27	797
33	28	796
34	28	792
35	29	789
36	30	785
37	30	783
38	31	779
39	32	776
40	33	774
41	33	769
42	34	767
43	35	763
44	35	760
45	36	757
46	37	755
47	37	753
48	38	754
49	39	755
50	40	754
51	41	762
52	42	764
53	43	764
54	44	762
55	45	759
56	45	756
57	46	754
58	47	752
59	47	750
60	48	747
61	49	745
62	49	743
63	50	740
64	51	738
65	52	736
66	52	734
67	53	732
68	54	734
69	55	732
70	55	732
71	56	731
72	57	734
73	58	736
74	59	735
75	60	734
76	61	734
77	61	732
78	62	731
79	63	729
80	64	728
81	64	726
82	65	720
83	65	718
84	66	717
85	67	716
86	68	715
87	69	716
88	69	715
89	70	713
90	71	711
91	71	709
92	72	708
93	73	707
94	74	711
95	75	710
96	76	709
97	76	708
98	77	707
99	78	705
100	79	704
101	79	703
102	80	702
103	81	700
104	81	698
105	82	698
106	84	701
107	84	701
108	85	699
109	86	698
110	87	697
111	87	697
112	88	697
113	89	696
114	90	695
115	91	694
116	91	691
117	92	690
118	93	689
119	93	687
120	94	686
121	95	684
122	95	683
123	96	681
124	97	681
125	98	681
126	99	680
127	99	680
128	100	678
129	101	677
130	101	675
131	102	674
132	103	673
133	103	671
134	104	670
135	105	669
136	106	668
137	106	666
138	107	665
139	108	664
140	108	663
141	109	660
142	110	659
143	110	658
144	111	657
145	112	656
146	113	656
147	114	656
148	114	656
149	115	655
150	116	654
151	117	654
152	118	653
153	118	652
154	119	651
155	120	650
156	120	649
157	121	648
158	122	646
159	123	645
160	123	643
161	124	642
162	124	641
163	125	640
164	126	639
165	127	638
166	127	637
167	128	636
168	129	637
169	130	636
170	130	634
171	131	633
172	132	632
173	133	631
174	133	630
175	134	629
176	135	628
177	135	627
178	136	626
179	137	625
180	137	624
181	138	622
182	139	621
183	139	620
184	140	619
185	141	618
186	142	617
187	142	616
188	143	616
189	144	616
190	145	615
191	146	614
192	146	613
193	147	612
194	148	611
195	148	610
196	149	609
197	150	608
198	150	607
199	151	606
200	152	605
201	153	604
202	153	603
203	154	602
204	155	601
205	155	600
206	156	600
207	157	599
208	158	598
209	158	597
210	159	597
211	160	596
212	161	595
213	161	594
214	162	593
215	163	592
216	164	592
217	164	591
218	165	590
219	166	589
220	167	588
221	167	587
222	168	586
223	169	585
224	169	584
225	170	583
226	171	582
227	171	582
228	172	581
229	173	580
230	174	580
231	175	579
232	175	578
233	176	578
234	177	577
235	178	576
236	179	576
237	179	575
238	180	574
239	181	574
240	181	573
241	182	572
242	183	571
243	184	570
244	184	569
245	185	568
246	186	567
247	186	566
248	187	565
249	188	564
250	189	564
251	189	563
252	190	562
253	191	562
254	192	561
255	192	560
256	193	559
257	194	558
258	194	557
259	195	556
260	196	555
261	197	555
262	197	554
263	198	553
264	199	552
265	199	551
266	200	550
267	201	549
268	201	548
269	202	547
270	203	547
271	204	546
272	204	545
273	205	544
274	206	544
275	207	543
276	207	542
277	208	541
278	209	540
279	209	539
280	210	538
281	211	538
282	212	537
283	212	536
284	213	535
285	214	535
286	215	534
287	215	533
288	216	532
289	217	531
290	218	531
291	218	530
292	219	530
293	220	529
